Year,Cereal_Yield_kg_per_hectare,Decade,MA_3yr,MA_5yr,Yield_Change,Yield_Change_Pct,Yield_Zscore,Above_Average,Yield_Category,Decade_Avg,Above_Decade_Avg
1990,1003.9,1990,1076.5000000000002,1132.84,-109.00000000000011,-9.794231287626932,-0.2004498593429452,False,Medium,1112.76,False
1991,1112.7,1990,1118.2333333333333,1131.3600000000001,108.80000000000007,10.837732841916537,0.35877697848482604,True,High,1112.76,False
1992,1238.1,1990,1180.0,1141.48,125.39999999999986,11.269884065785906,1.00332702870176,True,High,1112.76,True
1993,1189.2,1990,1196.9333333333334,1147.7400000000002,-48.899999999999864,-3.949600193845393,0.7519833488324774,True,High,1112.76,True
1994,1163.5,1990,1129.3,1146.06,-25.700000000000045,-2.161116717120759,0.6198865682058806,True,High,1112.76,True
1995,1035.2,1990,1101.0,1086.56,-128.29999999999995,-11.027073485174043,-0.03956934441638945,False,Medium,1112.76,False
1996,1104.3,1990,1026.7,1056.0,69.09999999999991,6.675038639876352,0.3156013770348874,True,Medium,1112.76,False
1997,940.6,1990,1027.1000000000001,1084.0400000000002,-163.69999999999993,-14.823870325092814,-0.5258088559835506,False,Medium,1112.76,False
1998,1036.4,1990,1093.5666666666668,1138.06,95.80000000000007,10.18498830533703,-0.03340140135211233,False,Medium,1112.76,False
1999,1303.7,1990,1215.1333333333334,1175.7,267.29999999999995,25.7912003087611,1.3405079162155635,True,High,1112.76,True
2000,1305.3,2000,1300.5,1180.8799999999999,1.599999999999909,0.12272762138527682,1.3487318403012656,True,High,1087.83,True
2001,1292.5,2000,1188.1000000000001,1215.14,-12.799999999999955,-0.9806174825710556,1.2829404476156459,True,High,1087.83,True
2002,966.5,2000,1155.5666666666668,1190.2,-326.0,-25.222437137330754,-0.39268408484624134,False,Medium,1087.83,False
2003,1207.7,2000,1117.7333333333333,1138.6200000000001,241.20000000000005,24.956026901189876,0.8470724710734128,True,High,1087.83,True
2004,1179.0,2000,1144.7,1086.72,-28.700000000000045,-2.376417984598833,0.6995558327861237,True,High,1087.83,True
2005,1047.4,2000,1086.466666666667,1054.48,-131.5999999999999,-11.16200169635283,0.023138076737092447,True,Medium,1087.83,False
2006,1033.0,2000,961.9000000000002,1009.64,-14.400000000000091,-1.3748329196104692,-0.05087724003423064,False,Medium,1087.83,False
2007,805.3,2000,940.6,985.4599999999998,-227.70000000000005,-22.042594385285586,-1.2212444364807697,False,Medium,1087.83,False
2008,983.5,2000,948.9666666666667,1003.26,178.20000000000005,22.128399354277906,-0.30530489143565215,False,Medium,1087.83,False
2009,1058.1,2000,1059.3333333333333,972.5800000000002,74.59999999999991,7.585155058464665,0.07813556906022708,True,Medium,1087.83,False
2010,1136.4,2010,1024.7,995.6200000000001,78.30000000000018,7.400056705415392,0.4805938540042948,True,High,783.6,True
2011,879.6,2010,978.8333333333335,992.8399999999999,-256.80000000000007,-22.597676874340024,-0.839345961750959,False,Medium,783.6,True
2012,920.5,2010,923.2333333333335,931.9,40.89999999999998,4.649840836743979,-0.6291219023101886,False,Medium,783.6,True
2013,969.6,2010,881.1666666666669,864.6600000000001,49.10000000000002,5.334057577403595,-0.37675023193019264,False,Medium,783.6,True
2014,753.4,2010,841.0666666666667,837.5200000000001,-216.20000000000005,-22.297854785478556,-1.488007974010745,False,Low,783.6,False
2015,800.2,2010,765.8333333333334,780.26,46.80000000000007,6.211839660207064,-1.247458194503946,False,Medium,783.6,True
2016,743.9,2010,726.1,693.7,-56.30000000000007,-7.035741064733825,-1.5368375232696037,False,Low,783.6,False
2017,634.2,2010,638.3000000000001,635.3,-109.69999999999993,-14.746605726576146,-2.100690318395582,False,Low,783.6,False
2018,536.8,2010,544.1333333333333,606.52,-97.40000000000009,-15.357931251971003,-2.6013216971127227,False,Low,783.6,False
2019,461.4,2010,551.5,669.0999999999999,-75.39999999999998,-14.0461997019374,-2.9888741196514537,False,Low,783.6,False
2020,656.3,2020,724.8333333333334,728.18,194.89999999999998,42.24100563502384,-1.9870973669618164,False,Low,880.9,False
2021,1056.8,2020,880.9000000000001,,400.5,61.023921986896234,0.071453630740594,True,Medium,880.9,True
2022,929.6,2020,,,-127.19999999999993,-12.036336109008317,-0.5823483340727554,False,Medium,880.9,True
